epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0284,1.47293,4.17136,1.6642,0.23852,0.21261,0.11455,0.07129,1.37399,3.15198,1.56096,9.76111e-05,9.76111e-05,9.76111e-05
2,152.25,1.45976,3.39456,1.63658,0.14884,0.32254,0.21175,0.1362,1.32423,2.60797,1.50829,0.000187865,0.000187865,0.000187865
3,251.019,1.39331,2.97878,1.59263,0.2896,0.37418,0.30023,0.20178,1.31089,2.43145,1.46234,0.000270357,0.000270357,0.000270357
4,373.837,1.37369,2.75485,1.56285,0.37899,0.4501,0.37411,0.24601,1.26928,2.29207,1.45765,0.000259073,0.000259073,0.000259073
5,470.343,1.34185,2.55826,1.5295,0.34601,0.43807,0.33837,0.23051,1.32464,2.37524,1.47295,0.00024743,0.00024743,0.00024743
6,525.648,1.31556,2.45984,1.50209,0.37031,0.45982,0.39872,0.26842,1.28102,1.9975,1.41759,0.000235788,0.000235788,0.000235788
7,579.798,1.29881,2.33967,1.48773,0.37583,0.53469,0.43599,0.2942,1.25493,1.92334,1.39937,0.000224146,0.000224146,0.000224146
8,633.613,1.27031,2.2401,1.46826,0.36942,0.51667,0.44476,0.30043,1.27115,1.8543,1.39861,0.000212503,0.000212503,0.000212503
9,687.515,1.25898,2.1784,1.45598,0.37651,0.50204,0.45496,0.30378,1.2618,1.88782,1.40709,0.000200861,0.000200861,0.000200861
10,744.561,1.23801,2.10011,1.43986,0.43219,0.48211,0.5061,0.34935,1.23906,1.74291,1.38729,0.000189218,0.000189218,0.000189218
11,801.247,1.2285,2.03506,1.42997,0.39113,0.56351,0.50453,0.34432,1.2353,1.79362,1.38046,0.000177576,0.000177576,0.000177576
12,858.732,1.23002,1.98426,1.42872,0.4631,0.52732,0.54865,0.37652,1.25989,1.72775,1.39232,0.000165934,0.000165934,0.000165934
13,915.797,1.23433,1.95369,1.42277,0.45633,0.45969,0.48605,0.33485,1.25714,1.73461,1.37645,0.000154291,0.000154291,0.000154291
14,972.581,1.19902,1.89883,1.40426,0.45294,0.50973,0.51446,0.35794,1.26897,1.61781,1.3808,0.000142649,0.000142649,0.000142649
15,1029.38,1.21215,1.86891,1.40194,0.44531,0.549,0.51957,0.36105,1.24731,1.67678,1.36491,0.000131006,0.000131006,0.000131006
16,1101,1.22204,1.91277,1.4358,0.45572,0.54632,0.51458,0.35861,1.25112,1.63848,1.36371,0.000119364,0.000119364,0.000119364
17,1156.24,1.20177,1.78956,1.42112,0.4658,0.57796,0.51733,0.36053,1.236,1.63663,1.34508,0.000107722,0.000107722,0.000107722
18,1210.89,1.1875,1.72725,1.41512,0.45824,0.55676,0.54356,0.38102,1.23989,1.59855,1.35309,9.60792e-05,9.60792e-05,9.60792e-05
19,1265.02,1.16051,1.69227,1.39175,0.47366,0.54524,0.53819,0.37724,1.24131,1.62638,1.36284,8.44368e-05,8.44368e-05,8.44368e-05
20,1319.57,1.15543,1.60903,1.38638,0.47598,0.57573,0.56071,0.39322,1.24819,1.49701,1.37346,7.27944e-05,7.27944e-05,7.27944e-05
21,1373.88,1.15906,1.60209,1.39168,0.49814,0.6014,0.56979,0.40194,1.23603,1.49693,1.36343,6.1152e-05,6.1152e-05,6.1152e-05
22,1428.29,1.13323,1.55059,1.36902,0.51124,0.58893,0.58841,0.41838,1.23856,1.49355,1.35546,4.95096e-05,4.95096e-05,4.95096e-05
23,1482.37,1.12345,1.51976,1.3627,0.48745,0.61751,0.5621,0.40071,1.23674,1.51847,1.35479,3.78672e-05,3.78672e-05,3.78672e-05
24,1536.63,1.11256,1.49527,1.35774,0.45682,0.62983,0.56987,0.40763,1.23149,1.51773,1.34867,2.62248e-05,2.62248e-05,2.62248e-05
25,1591.37,1.1061,1.46207,1.34367,0.48352,0.62327,0.57909,0.41466,1.22547,1.47497,1.34394,1.45824e-05,1.45824e-05,1.45824e-05
